event_id;idade;profissao;estado_civil;escolaridade;inadimplencia;financiamento_habitacional;emprestimo_pessoal;split
31;46;administrativo;casado;desconhecido;nao;nao;nao;train
32;59;tecnico;casado;desconhecido;nao;sim;nao;train
33;49;operario;casado;desconhecido;nao;nao;nao;validation
34;54;gestao;casado;basico_4_anos;desconhecido;sim;nao;train
35;54;operario;divorciado_ou_viuvo;basico_4_anos;nao;nao;nao;train
36;55;desconhecido;casado;basico_4_anos;desconhecido;sim;nao;train
37;34;servicos;casado;ensino_medio;nao;nao;nao;train
38;52;tecnico;casado;basico_9_anos;nao;sim;nao;test
39;41;administrativo;casado;ensino_superior;nao;sim;nao;train
40;56;tecnico;casado;basico_4_anos;nao;sim;nao;train
41;58;gestao;desconhecido;ensino_superior;nao;sim;nao;train
42;32;empreendedor;casado;ensino_medio;nao;sim;nao;train
43;38;administrativo;solteiro;curso_profissionalizante;nao;nao;nao;train
44;57;administrativo;casado;ensino_superior;nao;nao;sim;train
45;44;administrativo;casado;ensino_superior;desconhecido;sim;nao;train
46;42;tecnico;solteiro;curso_profissionalizante;desconhecido;nao;nao;test
47;57;administrativo;casado;ensino_superior;nao;sim;sim;train
48;40;operario;casado;basico_9_anos;nao;nao;sim;train
49;35;administrativo;casado;ensino_superior;nao;sim;nao;test
50;45;operario;casado;basico_9_anos;nao;sim;nao;train
51;54;administrativo;casado;ensino_medio;nao;nao;nao;train
52;39;trabalhador_domestico;casado;basico_4_anos;nao;nao;sim;train
53;60;administrativo;casado;ensino_medio;nao;nao;nao;train
54;53;administrativo;solteiro;curso_profissionalizante;nao;nao;nao;train
55;55;operario;casado;basico_4_anos;desconhecido;nao;nao;train
56;55;tecnico;casado;curso_profissionalizante;desconhecido;sim;nao;validation
57;50;gestao;casado;ensino_superior;desconhecido;nao;sim;train
58;45;servicos;casado;ensino_medio;desconhecido;sim;nao;train
59;55;desempregado;casado;curso_profissionalizante;desconhecido;sim;sim;validation
60;25;tecnico;solteiro;ensino_superior;nao;sim;nao;train
61;47;empreendedor;casado;ensino_superior;desconhecido;nao;nao;validation
62;51;operario;casado;basico_9_anos;nao;sim;nao;train
63;42;operario;casado;basico_6_anos;desconhecido;sim;nao;train
64;42;operario;casado;basico_6_anos;desconhecido;nao;nao;train
65;48;administrativo;casado;ensino_medio;nao;nao;nao;train
66;37;administrativo;casado;ensino_superior;nao;nao;nao;train
67;44;operario;solteiro;basico_9_anos;nao;sim;nao;test
68;33;administrativo;casado;desconhecido;nao;sim;nao;test
69;56;administrativo;casado;basico_9_anos;nao;sim;nao;train
70;44;operario;solteiro;basico_4_anos;desconhecido;sim;sim;train
71;41;gestao;casado;basico_6_anos;nao;nao;nao;train
72;44;gestao;divorciado_ou_viuvo;ensino_superior;nao;sim;nao;validation
73;47;administrativo;casado;ensino_superior;desconhecido;sim;nao;train
74;57;desconhecido;casado;desconhecido;desconhecido;nao;nao;train
75;37;administrativo;casado;ensino_superior;desconhecido;sim;nao;test
76;41;operario;divorciado_ou_viuvo;basico_4_anos;desconhecido;sim;nao;validation
77;55;tecnico;casado;ensino_superior;nao;nao;nao;train
78;33;servicos;casado;ensino_medio;desconhecido;sim;nao;train
79;55;gestao;casado;desconhecido;desconhecido;sim;nao;test
80;42;operario;casado;basico_9_anos;desconhecido;nao;nao;test
81;50;operario;casado;basico_4_anos;desconhecido;sim;nao;train
82;51;operario;casado;basico_4_anos;desconhecido;desconhecido;desconhecido;train
83;38;administrativo;casado;ensino_medio;desconhecido;nao;nao;train
84;49;empreendedor;casado;ensino_superior;desconhecido;sim;nao;test
85;38;tecnico;solteiro;ensino_superior;nao;nao;sim;validation
86;31;administrativo;divorciado_ou_viuvo;ensino_medio;nao;nao;nao;train
87;41;gestao;casado;basico_6_anos;nao;nao;nao;train
88;39;administrativo;casado;ensino_superior;nao;sim;sim;train
89;49;tecnico;casado;basico_9_anos;nao;nao;nao;train
90;34;administrativo;casado;ensino_medio;nao;sim;nao;train
91;35;administrativo;casado;ensino_superior;nao;sim;nao;train
92;57;desconhecido;casado;desconhecido;desconhecido;sim;nao;train
93;60;administrativo;casado;desconhecido;desconhecido;nao;sim;train
94;33;desempregado;casado;basico_9_anos;nao;nao;nao;train
95;42;operario;casado;basico_6_anos;nao;nao;sim;train
96;45;servicos;casado;curso_profissionalizante;nao;sim;nao;train
97;42;gestao;casado;ensino_superior;nao;nao;nao;validation
98;53;administrativo;divorciado_ou_viuvo;ensino_superior;desconhecido;nao;nao;train
99;37;tecnico;solteiro;curso_profissionalizante;nao;nao;nao;train
100;44;operario;casado;basico_6_anos;nao;nao;nao;train
101;54;servicos;casado;desconhecido;nao;sim;nao;test
102;49;operario;casado;basico_4_anos;nao;nao;nao;train
103;54;servicos;casado;desconhecido;nao;nao;nao;train
104;52;administrativo;divorciado_ou_viuvo;ensino_superior;nao;nao;nao;train
105;52;administrativo;divorciado_ou_viuvo;ensino_superior;nao;nao;nao;train
106;43;servicos;solteiro;ensino_medio;desconhecido;nao;nao;train
107;34;trabalhador_domestico;casado;basico_6_anos;nao;sim;nao;train
108;35;administrativo;casado;ensino_medio;nao;sim;nao;test
109;42;empreendedor;casado;desconhecido;desconhecido;sim;nao;test
110;43;tecnico;casado;desconhecido;desconhecido;sim;sim;train
111;60;aposentado;divorciado_ou_viuvo;ensino_superior;desconhecido;nao;nao;train
112;58;desempregado;casado;basico_4_anos;desconhecido;nao;nao;validation
113;35;servicos;divorciado_ou_viuvo;ensino_medio;nao;sim;nao;train
114;55;operario;casado;basico_9_anos;desconhecido;sim;nao;train
115;37;gestao;casado;ensino_superior;nao;nao;nao;train
116;36;operario;casado;ensino_medio;nao;nao;nao;validation
117;52;administrativo;divorciado_ou_viuvo;ensino_superior;nao;nao;nao;train
118;57;operario;divorciado_ou_viuvo;desconhecido;desconhecido;sim;nao;train
119;56;administrativo;casado;desconhecido;nao;sim;nao;train
120;48;operario;divorciado_ou_viuvo;basico_4_anos;desconhecido;sim;nao;train
121;40;operario;casado;ensino_medio;desconhecido;sim;nao;validation
122;49;operario;divorciado_ou_viuvo;ensino_medio;nao;nao;nao;validation
123;41;servicos;casado;ensino_medio;nao;nao;nao;train
124;45;tecnico;casado;ensino_medio;nao;sim;nao;test
125;32;administrativo;casado;ensino_superior;nao;sim;sim;train
126;42;administrativo;casado;ensino_superior;nao;nao;sim;test
127;50;administrativo;casado;basico_6_anos;nao;nao;nao;train
128;31;tecnico;divorciado_ou_viuvo;curso_profissionalizante;nao;sim;sim;train
129;56;aposentado;casado;basico_4_anos;nao;sim;nao;test
130;41;tecnico;casado;curso_profissionalizante;desconhecido;sim;nao;train
131;37;operario;casado;basico_6_anos;nao;sim;sim;validation
132;41;tecnico;casado;curso_profissionalizante;desconhecido;nao;nao;train
133;35;operario;casado;desconhecido;nao;sim;nao;train
134;37;operario;casado;basico_6_anos;nao;sim;nao;train
135;52;gestao;casado;ensino_superior;nao;nao;nao;train
136;39;gestao;divorciado_ou_viuvo;ensino_superior;nao;nao;nao;train
137;39;trabalhador_domestico;casado;basico_4_anos;desconhecido;nao;nao;test
138;56;operario;casado;basico_4_anos;desconhecido;nao;nao;train
139;34;servicos;casado;ensino_medio;nao;sim;nao;train
140;45;operario;casado;basico_9_anos;desconhecido;sim;nao;train
141;43;desempregado;solteiro;ensino_superior;nao;sim;nao;train
142;56;gestao;casado;desconhecido;nao;sim;nao;validation
143;39;gestao;casado;ensino_superior;nao;sim;nao;train
144;53;operario;casado;basico_4_anos;nao;sim;nao;test
145;38;desconhecido;divorciado_ou_viuvo;ensino_medio;desconhecido;sim;nao;train
146;42;operario;casado;basico_4_anos;desconhecido;sim;nao;train
147;42;operario;casado;basico_4_anos;desconhecido;nao;nao;validation
148;35;administrativo;solteiro;ensino_medio;nao;sim;nao;train
149;40;administrativo;casado;ensino_superior;desconhecido;sim;nao;test
150;51;operario;casado;basico_4_anos;nao;sim;nao;train
151;60;operario;casado;basico_9_anos;desconhecido;nao;nao;test
152;56;empreendedor;casado;desconhecido;desconhecido;sim;nao;train
153;39;servicos;divorciado_ou_viuvo;ensino_medio;desconhecido;sim;nao;train
154;56;empreendedor;casado;desconhecido;desconhecido;nao;nao;validation
155;40;operario;casado;desconhecido;nao;sim;sim;train
156;36;operario;casado;basico_9_anos;nao;sim;sim;train
157;51;operario;casado;desconhecido;desconhecido;sim;nao;test
158;51;operario;casado;desconhecido;desconhecido;nao;nao;train
159;43;tecnico;solteiro;curso_profissionalizante;nao;sim;nao;test
160;59;servicos;casado;ensino_medio;nao;nao;nao;validation
161;24;gestao;solteiro;ensino_superior;nao;sim;nao;validation
162;37;operario;solteiro;basico_9_anos;desconhecido;sim;sim;validation
163;40;operario;casado;basico_9_anos;desconhecido;nao;nao;train
164;42;operario;casado;basico_9_anos;desconhecido;nao;nao;train
165;39;servicos;divorciado_ou_viuvo;ensino_medio;desconhecido;nao;nao;test
166;37;empreendedor;casado;basico_6_anos;nao;nao;nao;train
167;38;servicos;casado;ensino_medio;nao;sim;sim;validation
168;56;administrativo;divorciado_ou_viuvo;desconhecido;desconhecido;nao;nao;test
169;40;operario;casado;desconhecido;nao;nao;nao;validation
170;54;gestao;divorciado_ou_viuvo;ensino_superior;nao;sim;nao;train
171;43;operario;casado;ensino_medio;desconhecido;nao;sim;train
172;36;servicos;casado;ensino_medio;desconhecido;nao;nao;train
173;45;tecnico;casado;ensino_superior;nao;sim;sim;train
174;42;administrativo;solteiro;ensino_superior;desconhecido;nao;nao;train
175;43;servicos;casado;ensino_medio;nao;nao;nao;train
176;46;gestao;casado;basico_9_anos;nao;nao;nao;train
177;44;servicos;casado;ensino_medio;nao;sim;sim;train
178;51;administrativo;solteiro;basico_6_anos;nao;nao;nao;test
179;28;servicos;casado;ensino_medio;nao;sim;nao;train
180;37;operario;casado;basico_9_anos;nao;nao;nao;validation
181;34;tecnico;casado;ensino_medio;nao;nao;nao;train
182;46;operario;casado;basico_6_anos;desconhecido;sim;nao;train
183;42;operario;casado;basico_9_anos;nao;sim;sim;validation
184;36;administrativo;casado;ensino_superior;nao;sim;nao;train
185;54;operario;casado;basico_4_anos;desconhecido;nao;nao;test
186;57;gestao;casado;ensino_superior;nao;nao;nao;test
187;51;tecnico;casado;basico_6_anos;desconhecido;nao;nao;train
188;54;aposentado;casado;ensino_medio;desconhecido;nao;nao;train
189;49;operario;casado;basico_4_anos;desconhecido;nao;nao;train
190;34;administrativo;casado;ensino_superior;nao;sim;nao;train
191;41;tecnico;casado;curso_profissionalizante;nao;nao;nao;train
192;38;operario;solteiro;basico_9_anos;nao;sim;nao;train
193;45;gestao;divorciado_ou_viuvo;ensino_superior;nao;nao;nao;validation
194;42;tecnico;casado;ensino_superior;nao;nao;nao;train
195;34;operario;solteiro;basico_9_anos;desconhecido;sim;nao;train
196;48;operario;casado;basico_4_anos;nao;sim;nao;validation
197;37;administrativo;casado;ensino_medio;desconhecido;sim;nao;test
198;34;operario;solteiro;basico_9_anos;desconhecido;nao;nao;test
199;40;administrativo;casado;basico_9_anos;desconhecido;sim;nao;test
200;43;operario;casado;basico_6_anos;nao;sim;nao;validation
201;33;servicos;casado;ensino_medio;nao;nao;nao;train
202;32;servicos;solteiro;basico_6_anos;nao;nao;nao;train
203;39;operario;casado;ensino_medio;nao;sim;nao;train
204;43;administrativo;casado;desconhecido;nao;nao;nao;validation
205;44;operario;casado;basico_9_anos;nao;sim;nao;validation
206;35;estudante;solteiro;ensino_superior;desconhecido;nao;nao;train
207;35;estudante;solteiro;ensino_superior;desconhecido;sim;sim;train
208;35;desempregado;casado;curso_profissionalizante;nao;nao;nao;train
209;36;servicos;solteiro;basico_4_anos;nao;nao;nao;train
210;35;estudante;solteiro;ensino_superior;desconhecido;sim;nao;test
211;36;estudante;solteiro;basico_9_anos;nao;sim;nao;train
212;55;trabalhador_domestico;divorciado_ou_viuvo;ensino_superior;nao;nao;nao;train
213;59;administrativo;casado;ensino_superior;nao;nao;nao;test
214;57;aposentado;casado;desconhecido;desconhecido;nao;nao;test
215;39;operario;casado;curso_profissionalizante;desconhecido;sim;nao;train
216;39;trabalhador_domestico;casado;basico_4_anos;desconhecido;sim;nao;train
217;30;operario;solteiro;desconhecido;nao;sim;nao;train
218;30;operario;solteiro;desconhecido;nao;sim;sim;test
219;50;trabalhador_domestico;casado;basico_4_anos;desconhecido;nao;nao;validation
220;40;servicos;casado;ensino_medio;nao;nao;nao;train
221;35;administrativo;casado;ensino_medio;nao;sim;nao;train
222;43;tecnico;casado;desconhecido;desconhecido;nao;nao;test
223;36;servicos;solteiro;basico_6_anos;desconhecido;sim;nao;train
224;46;tecnico;casado;basico_4_anos;desconhecido;sim;nao;train
225;40;tecnico;casado;basico_9_anos;nao;nao;nao;train
226;58;aposentado;casado;ensino_superior;nao;nao;nao;train
227;42;tecnico;casado;ensino_superior;nao;nao;nao;validation
228;35;administrativo;solteiro;ensino_superior;nao;nao;nao;train
229;43;aposentado;casado;basico_4_anos;desconhecido;nao;nao;train
230;45;operario;casado;basico_4_anos;nao;sim;sim;validation
231;39;administrativo;casado;curso_profissionalizante;nao;sim;nao;train
232;50;servicos;divorciado_ou_viuvo;curso_profissionalizante;nao;sim;nao;train
233;32;gestao;divorciado_ou_viuvo;basico_4_anos;desconhecido;sim;nao;test
234;39;administrativo;casado;ensino_medio;desconhecido;nao;nao;train
235;52;autonomo;casado;ensino_superior;desconhecido;nao;nao;test
236;44;administrativo;casado;curso_profissionalizante;nao;sim;nao;validation
237;56;operario;casado;basico_4_anos;nao;nao;nao;train
238;48;administrativo;casado;ensino_medio;nao;nao;nao;train
239;33;servicos;casado;ensino_medio;desconhecido;nao;sim;train
240;43;gestao;casado;ensino_superior;desconhecido;nao;sim;validation
241;57;aposentado;casado;ensino_medio;nao;nao;nao;train
242;36;tecnico;solteiro;curso_profissionalizante;nao;nao;nao;validation
243;34;gestao;casado;ensino_superior;nao;sim;nao;train
244;34;servicos;solteiro;basico_9_anos;nao;nao;nao;test
245;30;tecnico;casado;ensino_superior;desconhecido;nao;nao;validation
246;33;servicos;divorciado_ou_viuvo;desconhecido;nao;nao;nao;train
247;32;tecnico;solteiro;curso_profissionalizante;nao;nao;nao;test
248;36;tecnico;solteiro;ensino_medio;nao;sim;nao;train
249;36;operario;solteiro;ensino_medio;nao;nao;sim;train
250;33;servicos;solteiro;ensino_medio;nao;nao;nao;train
251;40;tecnico;divorciado_ou_viuvo;curso_profissionalizante;nao;nao;nao;validation
252;41;operario;casado;basico_4_anos;nao;sim;nao;train
253;51;servicos;casado;basico_6_anos;nao;sim;nao;train
254;36;tecnico;casado;curso_profissionalizante;nao;sim;nao;train
255;28;servicos;casado;desconhecido;nao;nao;nao;train
256;53;servicos;casado;ensino_medio;nao;sim;sim;validation
257;58;operario;casado;basico_9_anos;desconhecido;sim;nao;train
258;45;gestao;casado;basico_9_anos;nao;nao;sim;train
259;43;tecnico;casado;desconhecido;nao;sim;nao;train
260;33;administrativo;casado;ensino_medio;nao;nao;sim;train
261;33;administrativo;casado;ensino_medio;nao;nao;sim;train
262;27;operario;solteiro;basico_6_anos;nao;desconhecido;desconhecido;train
263;42;tecnico;casado;ensino_medio;nao;nao;nao;test
264;43;administrativo;divorciado_ou_viuvo;basico_9_anos;nao;nao;nao;train
265;42;administrativo;casado;ensino_superior;nao;nao;nao;validation
266;27;operario;solteiro;basico_6_anos;nao;nao;nao;train
267;34;autonomo;solteiro;ensino_superior;nao;sim;nao;train
268;31;estudante;solteiro;ensino_superior;desconhecido;nao;nao;train
269;54;gestao;divorciado_ou_viuvo;ensino_superior;nao;nao;nao;validation
270;40;autonomo;casado;basico_4_anos;desconhecido;nao;nao;train
271;52;desempregado;casado;ensino_medio;desconhecido;sim;nao;train
272;47;gestao;divorciado_ou_viuvo;ensino_superior;nao;nao;nao;train
273;49;trabalhador_domestico;casado;basico_9_anos;desconhecido;nao;nao;train
274;32;administrativo;solteiro;ensino_medio;nao;nao;nao;train
275;49;trabalhador_domestico;solteiro;ensino_medio;desconhecido;sim;sim;train
276;50;operario;casado;basico_9_anos;desconhecido;nao;nao;test
277;34;servicos;casado;ensino_medio;nao;nao;nao;train
278;55;operario;casado;basico_4_anos;desconhecido;nao;nao;test
279;47;tecnico;solteiro;basico_9_anos;nao;nao;nao;validation
280;51;aposentado;casado;curso_profissionalizante;nao;nao;nao;train
281;47;operario;casado;basico_6_anos;nao;nao;nao;train
282;56;tecnico;casado;basico_4_anos;nao;sim;nao;train
283;53;administrativo;casado;basico_9_anos;nao;nao;nao;test
284;36;operario;casado;basico_9_anos;nao;sim;nao;validation
285;42;operario;divorciado_ou_viuvo;basico_9_anos;nao;sim;nao;train
286;44;operario;divorciado_ou_viuvo;basico_6_anos;nao;nao;nao;train
287;39;trabalhador_domestico;casado;basico_9_anos;nao;sim;nao;train
288;37;administrativo;solteiro;ensino_medio;nao;sim;sim;train
289;60;operario;casado;desconhecido;desconhecido;sim;nao;validation
290;36;servicos;casado;ensino_medio;nao;nao;nao;validation
291;42;gestao;divorciado_ou_viuvo;ensino_superior;nao;sim;nao;train
292;31;administrativo;casado;ensino_medio;nao;sim;sim;train
293;53;tecnico;divorciado_ou_viuvo;curso_profissionalizante;desconhecido;nao;sim;train
294;45;operario;casado;basico_4_anos;nao;sim;nao;train
295;37;tecnico;solteiro;curso_profissionalizante;nao;sim;nao;validation
296;47;autonomo;casado;curso_profissionalizante;nao;nao;nao;train
297;49;operario;divorciado_ou_viuvo;ensino_medio;nao;nao;sim;train
298;36;administrativo;casado;ensino_superior;nao;sim;nao;train
299;35;servicos;divorciado_ou_viuvo;ensino_medio;nao;nao;nao;train
300;38;desconhecido;casado;desconhecido;desconhecido;nao;nao;train
301;38;servicos;solteiro;ensino_medio;desconhecido;nao;nao;train
302;50;operario;divorciado_ou_viuvo;ensino_medio;desconhecido;nao;sim;test
303;59;aposentado;casado;curso_profissionalizante;desconhecido;nao;nao;train
304;43;desconhecido;casado;desconhecido;nao;sim;nao;train
305;42;administrativo;casado;ensino_medio;nao;sim;nao;validation
306;40;administrativo;casado;basico_6_anos;desconhecido;sim;nao;test
307;46;operario;casado;desconhecido;desconhecido;nao;nao;train
308;57;trabalhador_domestico;divorciado_ou_viuvo;basico_4_anos;nao;sim;sim;train
309;42;administrativo;casado;ensino_superior;nao;sim;nao;test
310;41;operario;casado;basico_4_anos;nao;sim;nao;test
311;54;gestao;divorciado_ou_viuvo;ensino_superior;nao;sim;nao;train
312;27;administrativo;solteiro;ensino_superior;nao;nao;nao;train
313;36;administrativo;casado;ensino_medio;nao;nao;nao;validation
314;58;operario;casado;curso_profissionalizante;desconhecido;sim;nao;train
315;40;gestao;casado;ensino_superior;desconhecido;sim;nao;test
316;34;administrativo;solteiro;basico_9_anos;desconhecido;nao;nao;train
317;33;administrativo;divorciado_ou_viuvo;ensino_medio;nao;nao;nao;train
318;56;aposentado;casado;basico_6_anos;nao;nao;nao;validation
319;42;operario;casado;basico_9_anos;nao;nao;nao;train
320;43;servicos;casado;ensino_medio;nao;sim;nao;train
321;54;gestao;solteiro;basico_9_anos;nao;sim;nao;train
322;53;administrativo;solteiro;basico_6_anos;nao;sim;sim;test
323;42;tecnico;solteiro;desconhecido;nao;nao;nao;train
324;40;servicos;casado;basico_6_anos;desconhecido;nao;nao;train
325;54;tecnico;casado;curso_profissionalizante;nao;sim;sim;validation
326;40;trabalhador_domestico;solteiro;curso_profissionalizante;nao;nao;nao;train
327;26;administrativo;solteiro;ensino_superior;nao;sim;nao;train
328;33;administrativo;casado;ensino_medio;nao;nao;nao;test
329;35;operario;casado;basico_9_anos;desconhecido;nao;nao;train
330;36;administrativo;casado;ensino_medio;nao;nao;nao;train
331;29;servicos;solteiro;ensino_medio;nao;sim;nao;train
332;36;operario;casado;basico_9_anos;nao;sim;nao;test
333;35;gestao;casado;ensino_medio;nao;sim;nao;train
334;50;autonomo;solteiro;ensino_superior;nao;nao;sim;train
335;46;servicos;casado;ensino_medio;desconhecido;sim;nao;train
336;49;empreendedor;casado;ensino_medio;nao;sim;nao;test
337;42;tecnico;solteiro;curso_profissionalizante;desconhecido;sim;nao;train
338;36;operario;solteiro;ensino_medio;nao;sim;sim;train
339;55;operario;casado;basico_9_anos;desconhecido;sim;nao;test
340;41;gestao;casado;ensino_superior;desconhecido;nao;nao;train
341;57;gestao;casado;curso_profissionalizante;desconhecido;sim;nao;train
342;32;servicos;solteiro;ensino_medio;nao;sim;nao;train
343;49;administrativo;casado;basico_9_anos;nao;nao;nao;train
344;57;desconhecido;casado;desconhecido;desconhecido;sim;nao;test
345;58;operario;divorciado_ou_viuvo;basico_4_anos;nao;sim;nao;train
346;52;tecnico;casado;ensino_medio;nao;sim;nao;test
347;50;servicos;divorciado_ou_viuvo;curso_profissionalizante;nao;nao;nao;train
348;41;operario;solteiro;basico_9_anos;desconhecido;sim;nao;validation
349;33;empreendedor;casado;ensino_superior;nao;sim;nao;train
350;57;operario;casado;basico_4_anos;nao;nao;nao;train
351;48;operario;casado;basico_6_anos;desconhecido;nao;nao;train
352;55;tecnico;casado;curso_profissionalizante;nao;nao;nao;train
353;38;gestao;casado;ensino_superior;nao;nao;nao;train
354;38;servicos;casado;ensino_medio;nao;sim;nao;train
355;53;administrativo;casado;ensino_superior;nao;sim;nao;train
356;43;desempregado;solteiro;ensino_superior;nao;nao;nao;train
357;36;operario;solteiro;ensino_medio;nao;nao;nao;train
358;32;operario;casado;basico_9_anos;nao;nao;nao;validation
359;33;servicos;casado;basico_4_anos;nao;nao;nao;train
360;58;empreendedor;casado;basico_4_anos;nao;sim;nao;validation
361;40;desempregado;divorciado_ou_viuvo;ensino_medio;desconhecido;nao;nao;train
362;57;gestao;casado;ensino_superior;nao;sim;nao;validation
363;45;tecnico;casado;ensino_medio;nao;sim;nao;test
364;42;operario;casado;basico_4_anos;desconhecido;sim;nao;train
365;46;administrativo;casado;ensino_superior;nao;sim;nao;train
366;36;tecnico;casado;ensino_superior;nao;nao;nao;test
367;41;autonomo;casado;ensino_medio;nao;sim;nao;train
368;57;administrativo;divorciado_ou_viuvo;basico_9_anos;nao;nao;nao;train
369;49;operario;casado;basico_9_anos;desconhecido;sim;nao;train
370;56;gestao;divorciado_ou_viuvo;ensino_medio;nao;nao;nao;train
371;37;operario;casado;basico_9_anos;nao;nao;nao;test
372;37;operario;casado;basico_9_anos;nao;nao;sim;validation
373;46;administrativo;solteiro;ensino_medio;nao;sim;nao;test
374;22;operario;solteiro;basico_9_anos;nao;sim;nao;train
375;43;servicos;casado;ensino_medio;nao;nao;nao;train
376;49;operario;casado;desconhecido;nao;nao;nao;test
377;41;tecnico;casado;basico_6_anos;nao;sim;nao;train
378;38;administrativo;solteiro;ensino_superior;nao;nao;nao;validation
379;33;administrativo;casado;basico_9_anos;nao;nao;nao;validation
380;49;administrativo;casado;ensino_superior;nao;sim;sim;validation
381;30;operario;solteiro;desconhecido;nao;nao;nao;train
382;33;administrativo;casado;basico_9_anos;nao;sim;nao;train
383;34;gestao;solteiro;ensino_superior;nao;nao;nao;test
384;30;estudante;solteiro;desconhecido;desconhecido;nao;nao;train
385;59;gestao;casado;basico_4_anos;desconhecido;sim;sim;train
386;59;gestao;casado;basico_4_anos;desconhecido;desconhecido;desconhecido;test
387;41;autonomo;casado;ensino_superior;nao;nao;nao;train
388;48;trabalhador_domestico;casado;basico_6_anos;desconhecido;sim;sim;train
389;28;desconhecido;solteiro;desconhecido;desconhecido;sim;sim;train
390;44;servicos;casado;ensino_medio;nao;sim;nao;train
391;59;aposentado;desconhecido;ensino_superior;desconhecido;nao;nao;train
392;50;gestao;casado;ensino_medio;desconhecido;nao;nao;train
393;35;administrativo;casado;ensino_superior;nao;nao;nao;train
394;42;administrativo;casado;ensino_medio;nao;nao;nao;validation
395;45;administrativo;casado;basico_9_anos;nao;nao;nao;train
396;36;tecnico;casado;curso_profissionalizante;nao;nao;nao;train
397;56;servicos;casado;ensino_medio;desconhecido;nao;nao;train
398;29;operario;divorciado_ou_viuvo;basico_4_anos;nao;nao;nao;train
399;41;autonomo;casado;ensino_superior;nao;sim;sim;validation
400;42;operario;casado;basico_9_anos;desconhecido;nao;nao;validation
401;52;servicos;solteiro;ensino_medio;nao;nao;nao;validation
402;48;servicos;casado;ensino_medio;desconhecido;desconhecido;desconhecido;train
403;31;operario;casado;ensino_medio;desconhecido;sim;nao;validation
404;43;desempregado;casado;ensino_superior;desconhecido;sim;nao;train
405;36;operario;casado;basico_4_anos;desconhecido;nao;nao;train
406;42;empreendedor;casado;ensino_superior;nao;sim;nao;train
407;52;servicos;divorciado_ou_viuvo;basico_6_anos;nao;nao;nao;train
408;39;administrativo;casado;ensino_medio;nao;sim;nao;train
409;36;servicos;casado;ensino_medio;nao;nao;sim;train
410;42;operario;casado;basico_9_anos;desconhecido;sim;nao;validation
411;41;administrativo;casado;ensino_medio;nao;nao;nao;train
412;55;tecnico;casado;basico_4_anos;nao;nao;sim;validation
413;30;operario;casado;basico_9_anos;nao;nao;nao;test
414;57;aposentado;desconhecido;basico_4_anos;nao;nao;nao;test
415;45;empreendedor;casado;basico_4_anos;desconhecido;sim;nao;train
416;51;operario;casado;basico_4_anos;desconhecido;sim;sim;test
417;39;autonomo;solteiro;basico_9_anos;desconhecido;sim;sim;train
418;47;administrativo;casado;ensino_medio;desconhecido;nao;nao;train
419;27;servicos;casado;ensino_medio;nao;sim;nao;train
420;34;tecnico;solteiro;ensino_superior;nao;sim;nao;train
421;57;operario;casado;basico_4_anos;desconhecido;sim;nao;train
422;43;empreendedor;casado;basico_4_anos;nao;nao;nao;test
423;49;operario;casado;basico_4_anos;desconhecido;nao;nao;train
424;39;gestao;casado;ensino_superior;desconhecido;nao;nao;train
