event_id;idade;profissao;estado_civil;escolaridade;inadimplencia;financiamento_habitacional;emprestimo_pessoal;canal_contato;mes_contato;dia_semana;duracao_contato;contatos_campanha_atual;dias_desde_ultimo_contato;contatos_campanhas_anteriores;resultado_campanha_anterior;taxa_variacao_emprego;indice_precos_consumidor;indice_confianca_consumidor;euribor_3_meses;numero_empregados;resultado
91;35;administrativo;casado;ensino_superior;nao;sim;nao;telefone;mai;seg;180;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
92;57;desconhecido;casado;desconhecido;desconhecido;sim;nao;telefone;mai;seg;48;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
93;60;administrativo;casado;desconhecido;desconhecido;nao;sim;telefone;mai;seg;213;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
94;33;desempregado;casado;basico_9_anos;nao;nao;nao;telefone;mai;seg;545;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
95;42;operario;casado;basico_6_anos;nao;nao;sim;telefone;mai;seg;583;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
96;45;servicos;casado;curso_profissionalizante;nao;sim;nao;telefone;mai;seg;221;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
97;42;gestao;casado;ensino_superior;nao;nao;nao;telefone;mai;seg;426;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
98;53;administrativo;divorciado_ou_viuvo;ensino_superior;desconhecido;nao;nao;telefone;mai;seg;287;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
99;37;tecnico;solteiro;curso_profissionalizante;nao;nao;nao;telefone;mai;seg;197;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
100;44;operario;casado;basico_6_anos;nao;nao;nao;telefone;mai;seg;257;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
101;54;servicos;casado;desconhecido;nao;sim;nao;telefone;mai;seg;229;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
102;49;operario;casado;basico_4_anos;nao;nao;nao;telefone;mai;seg;55;3;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
103;54;servicos;casado;desconhecido;nao;nao;nao;telefone;mai;seg;400;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
104;52;administrativo;divorciado_ou_viuvo;ensino_superior;nao;nao;nao;telefone;mai;seg;197;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
105;52;administrativo;divorciado_ou_viuvo;ensino_superior;nao;nao;nao;telefone;mai;seg;190;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
106;43;servicos;solteiro;ensino_medio;desconhecido;nao;nao;telefone;mai;seg;21;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
107;34;trabalhador_domestico;casado;basico_6_anos;nao;sim;nao;telefone;mai;seg;300;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
108;35;administrativo;casado;ensino_medio;nao;sim;nao;telefone;mai;seg;123;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
109;42;empreendedor;casado;desconhecido;desconhecido;sim;nao;telefone;mai;seg;293;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
110;43;tecnico;casado;desconhecido;desconhecido;sim;sim;telefone;mai;seg;325;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
111;60;aposentado;divorciado_ou_viuvo;ensino_superior;desconhecido;nao;nao;telefone;mai;seg;514;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
112;58;desempregado;casado;basico_4_anos;desconhecido;nao;nao;telefone;mai;seg;849;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
113;35;servicos;divorciado_ou_viuvo;ensino_medio;nao;sim;nao;telefone;mai;seg;194;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
114;55;operario;casado;basico_9_anos;desconhecido;sim;nao;telefone;mai;seg;212;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
115;37;gestao;casado;ensino_superior;nao;nao;nao;telefone;mai;seg;337;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
116;36;operario;casado;ensino_medio;nao;nao;nao;telefone;mai;seg;286;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
117;52;administrativo;divorciado_ou_viuvo;ensino_superior;nao;nao;nao;telefone;mai;seg;247;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
118;57;operario;divorciado_ou_viuvo;desconhecido;desconhecido;sim;nao;telefone;mai;seg;518;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
119;56;administrativo;casado;desconhecido;nao;sim;nao;telefone;mai;seg;364;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
120;48;operario;divorciado_ou_viuvo;basico_4_anos;desconhecido;sim;nao;telefone;mai;seg;178;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
121;40;operario;casado;ensino_medio;desconhecido;sim;nao;telefone;mai;seg;98;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
122;49;operario;divorciado_ou_viuvo;ensino_medio;nao;nao;nao;telefone;mai;seg;439;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
123;41;servicos;casado;ensino_medio;nao;nao;nao;telefone;mai;seg;139;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
124;45;tecnico;casado;ensino_medio;nao;sim;nao;telefone;mai;seg;79;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
125;32;administrativo;casado;ensino_superior;nao;sim;sim;telefone;mai;seg;175;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
126;42;administrativo;casado;ensino_superior;nao;nao;sim;telefone;mai;seg;262;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
127;50;administrativo;casado;basico_6_anos;nao;nao;nao;telefone;mai;seg;61;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
128;31;tecnico;divorciado_ou_viuvo;curso_profissionalizante;nao;sim;sim;telefone;mai;seg;78;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
129;56;aposentado;casado;basico_4_anos;nao;sim;nao;telefone;mai;seg;102;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
130;41;tecnico;casado;curso_profissionalizante;desconhecido;sim;nao;telefone;mai;seg;579;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;1
131;37;operario;casado;basico_6_anos;nao;sim;sim;telefone;mai;seg;143;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
132;41;tecnico;casado;curso_profissionalizante;desconhecido;nao;nao;telefone;mai;seg;677;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
133;35;operario;casado;desconhecido;nao;sim;nao;telefone;mai;seg;267;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
134;37;operario;casado;basico_6_anos;nao;sim;nao;telefone;mai;seg;345;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
135;52;gestao;casado;ensino_superior;nao;nao;nao;telefone;mai;seg;185;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
136;39;gestao;divorciado_ou_viuvo;ensino_superior;nao;nao;nao;telefone;mai;seg;207;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
137;39;trabalhador_domestico;casado;basico_4_anos;desconhecido;nao;nao;telefone;mai;seg;69;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
138;56;operario;casado;basico_4_anos;desconhecido;nao;nao;telefone;mai;seg;100;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
139;34;servicos;casado;ensino_medio;nao;sim;nao;telefone;mai;seg;125;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
140;45;operario;casado;basico_9_anos;desconhecido;sim;nao;telefone;mai;seg;461;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;1
141;43;desempregado;solteiro;ensino_superior;nao;sim;nao;telefone;mai;seg;240;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
142;56;gestao;casado;desconhecido;nao;sim;nao;telefone;mai;seg;70;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
143;39;gestao;casado;ensino_superior;nao;sim;nao;telefone;mai;seg;193;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
144;53;operario;casado;basico_4_anos;nao;sim;nao;telefone;mai;seg;136;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
145;38;desconhecido;divorciado_ou_viuvo;ensino_medio;desconhecido;sim;nao;telefone;mai;seg;73;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
146;42;operario;casado;basico_4_anos;desconhecido;sim;nao;telefone;mai;seg;528;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
147;42;operario;casado;basico_4_anos;desconhecido;nao;nao;telefone;mai;seg;541;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
148;35;administrativo;solteiro;ensino_medio;nao;sim;nao;telefone;mai;seg;338;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
149;40;administrativo;casado;ensino_superior;desconhecido;sim;nao;telefone;mai;seg;163;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
150;51;operario;casado;basico_4_anos;nao;sim;nao;telefone;mai;seg;87;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
151;60;operario;casado;basico_9_anos;desconhecido;nao;nao;telefone;mai;seg;301;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
152;56;empreendedor;casado;desconhecido;desconhecido;sim;nao;telefone;mai;seg;46;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
153;39;servicos;divorciado_ou_viuvo;ensino_medio;desconhecido;sim;nao;telefone;mai;seg;52;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
154;56;empreendedor;casado;desconhecido;desconhecido;nao;nao;telefone;mai;seg;204;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
155;40;operario;casado;desconhecido;nao;sim;sim;telefone;mai;seg;155;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
156;36;operario;casado;basico_9_anos;nao;sim;sim;telefone;mai;seg;98;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
157;51;operario;casado;desconhecido;desconhecido;sim;nao;telefone;mai;seg;71;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
158;51;operario;casado;desconhecido;desconhecido;nao;nao;telefone;mai;seg;243;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
159;43;tecnico;solteiro;curso_profissionalizante;nao;sim;nao;telefone;mai;seg;186;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
160;59;servicos;casado;ensino_medio;nao;nao;nao;telefone;mai;seg;579;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
161;24;gestao;solteiro;ensino_superior;nao;sim;nao;telefone;mai;seg;165;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
162;37;operario;solteiro;basico_9_anos;desconhecido;sim;sim;telefone;mai;seg;163;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
163;40;operario;casado;basico_9_anos;desconhecido;nao;nao;telefone;mai;seg;46;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
164;42;operario;casado;basico_9_anos;desconhecido;nao;nao;telefone;mai;seg;559;3;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
165;39;servicos;divorciado_ou_viuvo;ensino_medio;desconhecido;nao;nao;telefone;mai;seg;2033;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
166;37;empreendedor;casado;basico_6_anos;nao;nao;nao;telefone;mai;seg;85;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
167;38;servicos;casado;ensino_medio;nao;sim;sim;telefone;mai;seg;506;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
168;56;administrativo;divorciado_ou_viuvo;desconhecido;desconhecido;nao;nao;telefone;mai;seg;114;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
169;40;operario;casado;desconhecido;nao;nao;nao;telefone;mai;seg;114;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
170;54;gestao;divorciado_ou_viuvo;ensino_superior;nao;sim;nao;telefone;mai;seg;843;2;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
171;43;operario;casado;ensino_medio;desconhecido;nao;sim;telefone;mai;seg;181;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
172;36;servicos;casado;ensino_medio;desconhecido;nao;nao;telefone;mai;seg;427;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
173;45;tecnico;casado;ensino_superior;nao;sim;sim;telefone;mai;seg;292;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
174;42;administrativo;solteiro;ensino_superior;desconhecido;nao;nao;telefone;mai;seg;192;1;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
175;43;servicos;casado;ensino_medio;nao;nao;nao;telefone;mai;seg;93;3;999;0;inexistente;1.1;93.994;-36.4;4.857;5191.0;0
