event_id;mes_contato;dia_semana;resultado_campanha_anterior;dias_desde_ultimo_contato;contatos_campanhas_anteriores;tentativas_anteriores_campanha_atual;taxa_variacao_emprego;indice_precos_consumidor;indice_confianca_consumidor;euribor_3_meses;numero_empregados;nunca_contatado_anteriormente;canal_contato;resultado
58;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
60;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
62;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
63;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
64;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
65;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
66;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
69;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
70;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
71;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
73;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
74;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
77;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
78;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
81;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
82;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
83;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
86;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
87;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
88;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
89;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;1
90;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
91;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
92;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
93;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
94;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
95;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
96;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
98;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
99;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
100;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
102;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
103;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
104;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
105;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
106;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
107;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
110;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
111;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
113;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
114;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
115;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
117;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
118;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
119;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
120;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
123;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
125;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
127;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
128;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
130;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;1
132;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
133;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
134;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
135;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
136;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
138;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
139;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
140;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;1
141;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
143;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
145;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
146;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
148;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
150;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
152;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
153;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
155;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
156;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
158;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
163;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
164;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
166;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
170;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
171;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
172;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
173;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
174;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
175;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
176;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
177;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
179;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
181;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
182;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
184;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
187;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
188;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
189;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
190;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
191;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
192;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
194;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
195;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
201;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
202;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
203;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
206;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
207;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
208;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
209;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
211;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
212;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
215;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
216;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
217;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
220;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
221;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
223;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
224;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
225;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
226;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
228;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
229;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
231;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
232;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
234;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
237;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
238;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
239;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
241;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
243;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
246;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
248;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
249;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
250;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
252;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
253;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
254;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
255;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
257;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
258;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
259;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
260;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
261;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
262;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
264;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
266;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
267;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
268;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
270;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
271;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
272;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
273;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
274;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
275;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
277;mai;seg;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
280;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
281;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
282;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
285;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
286;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
287;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;1
288;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
291;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
292;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
293;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
294;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
296;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
297;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
298;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
299;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
300;mai;seg;inexistente;;0;3;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
301;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
303;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
304;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
307;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
308;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
311;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
312;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
314;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
316;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
317;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
319;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
320;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
321;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
323;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
324;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
326;mai;seg;inexistente;;0;3;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
327;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
329;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
330;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
331;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
333;mai;seg;inexistente;;0;4;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
334;mai;seg;inexistente;;0;4;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
335;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
337;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
338;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
340;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
341;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
342;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
343;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
345;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
347;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
349;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
350;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
351;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
352;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
353;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
354;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
355;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
356;mai;seg;inexistente;;0;3;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
357;mai;seg;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
359;mai;seg;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
361;mai;ter;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
364;mai;ter;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
365;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
367;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
368;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
369;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
370;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
374;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
375;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
377;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
381;mai;ter;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
382;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
384;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
385;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
387;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
388;mai;ter;inexistente;;0;3;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
389;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;1
390;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;1
391;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
392;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
393;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
395;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
396;mai;ter;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
397;mai;ter;inexistente;;0;2;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
398;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
402;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
404;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
405;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
406;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
407;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
408;mai;ter;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
409;mai;ter;inexistente;;0;1;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
411;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
415;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
417;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
418;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
419;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
420;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
421;mai;ter;inexistente;;0;0;1.1;93.994;-36.4;4.857;5191.0;1;telefone;0
